index,word,count_rank
147,бесконечность,1
148,бесконечный,1
149,бесовка,1
150,бесплодный,2
151,беспокоить,1
152,беспокойный,2
153,беспокойство,1
154,беспощадный,2
155,беспредельный,1
156,бессильный,1
157,бессловесный,1
158,бессменный,1
159,бессмысленный,1
160,бестолковый,1
161,бестрепетный,1
162,бесчувственный,1
163,бешеный,1
164,библиография,1
165,библиотека,1
166,билет,2
167,био,2
168,биолог,1
169,биология,1
170,биржа,2
171,битый,2
172,бить,2
173,биться,2
174,благодарный,1
175,благодатный,1
176,благополучный,1
177,благородный,2
178,благословить,2
179,благоуханный,1
180,блаженный,1
181,блат,1
182,бледный,2
183,блеск,2
184,блеснуть,1
185,блестки,1
186,ближайший,2
187,близкий,2
188,близнецы,1
189,блок,2
190,блокада,1
191,блокировать,2
192,блоха,1
193,блуждать,2
194,блуждающий,1
195,бог,2
196,богатство,2
197,богатый,1
198,богатырский,1
199,богатырь,1
200,боевик,1
201,боевой,1
202,боец,2
203,божественный,1
204,бой,2
205,бойкий,1
206,бойный,1
207,бок,1
208,боковой,1
209,бокс,1
210,болван,1
211,болванка,2
212,болезненный,1
213,болезнь,1
214,болеро,1
215,болеть,1
216,болотник,1
217,болтать,2
218,болтаться,1
219,болтовня,1
220,болтушка,1
221,больше,2
222,большой,2
223,бомба,1
224,бомбардировать,1
225,боны,1
226,боров,1
227,борода,1
228,бородатый,1
229,борозда,1
230,бороздить,2
231,бороться,2
232,борт,2
233,босс,1
234,бостон,1
235,бочка,2
236,бояться,1
237,брандвахта,1
238,брат,2
239,братский,1
240,брать,2
241,браться,2
242,бревно,1
243,бред,1
244,брезжить,1
245,брешь,1
246,брить,1
247,бродить,1
248,бродяга,1
249,бронза,2
250,броня,2
251,бросать,2
252,бросить,2
253,броситься,1
254,бросовый,1
255,бросок,2
256,брус,1
257,брусника,1
258,брызгать,1
259,брызги,1
260,брызнуть,2
261,брыкаться,1
262,брюхо,1
263,брюшко,1
264,брякнуть,2
265,бугор,2
266,будка,1
267,будто,1
268,буйный,2
269,букет,2
270,булава,2
271,бултыхаться,1
272,бултыхнуть,1
273,булькнуть,1
274,бумага,2
275,бумажка,1
276,бумажный,1
277,бункер,1
278,бунтовать,2
279,буржуазный,1
280,бурлить,1
281,бурный,2
282,бурый,1
283,буря,2
284,буфер,2
285,буфет,1
286,бухать,2
287,бушевать,2
288,бы,2
289,бык,2
290,быстрый,1
291,быт,1
292,бытие,2
293,быть,2
294,бычок,1
295,бюллетенить,2
296,в,2
297,вагон,1
298,важный,2
299,вал,1
300,валек,1
301,валик,1
302,валить,2
303,валять,2
304,валяться,1
305,вампир,2
306,варвар,1
307,варварство,1
308,вареный,1
309,вариант,2
310,варить,2
311,вариться,1
312,вата,1
313,ватный,1
314,вахта,2
315,ваш,2
316,ввалиться,1
317,введение,1
318,вверх,1
319,ввести,2
320,вдержка,1
321,вдруг,1
322,ведомость,1
323,ведущий,2
324,ведь,1
325,веер,1
326,везти,2
327,век,2
328,велес,1
329,великий,2
330,величание,1
331,величать,1
332,величаться,1
333,величина,1
334,венгерка,1
335,венец,2
336,вентиль,2
337,вентиляция,1
338,венчать,2
339,венчаться,1
340,венчик,1
341,вера,2
342,веретено,1
343,верить,1
344,вернуть,2
345,вернуться,1
346,верный,2
347,вертеть,2
348,вертеться,2
349,вертлявый,1
350,вертушка,2
351,вертячка,1
352,верх,2
353,верхний,2
354,верхушка,1
355,веселый,2
356,вести,2
357,весы,1
358,весь,2
359,ветвь,2
360,ветошь,1
361,ветхий,1
362,веха,1
363,вечер,1
364,вечность,1
365,вечный,2
366,вешалка,2
367,вешаться,1
368,вещать,1
369,вещественный,1
370,вещий,1
371,вещь,2
372,веять,2
373,вз,1
374,взбеситься,1
375,взвалить,1
376,взвиться,1
377,взгляд,1
378,вздуть,2
379,вздуться,2
380,вздыхать,1
381,взлететь,1
382,взойти,2
383,взорвать,1
384,взорваться,1
385,взрыв,1
386,взыграть,1
387,вибрация,1
388,вид,1
389,видеть,2
390,видеться,2
391,видимый,1
392,видный,2
393,вилка,2
394,вилять,1
395,винт,2
396,винтик,1
397,вирусы,1
398,висеть,2
399,вискоза,1
400,витать,1
401,виток,1
402,виться,2
403,вихрь,1
404,вкатить,1
405,вклад,1
406,вклиниться,1
407,включить,2
408,включиться,1
409,вкрасться,1
410,вкус,2
411,владеть,2
412,властитель,1
413,власть,2
414,влачиться,1
415,влезть,2
416,влететь,1
417,вливание,1
418,влить,2
419,влиться,2
420,вложение,1
421,вложить,2
422,вмешаться,1
423,внести,2
424,внешний,1
425,внимательный,1
426,внутренний,2
427,внутренность,1
428,внушение,1
429,вогнать,1
430,вода,2
431,водить,2
432,водиться,1
433,водоворот,1
434,водолей,2
435,водянистый,1
436,воевать,1
437,воевода,1
438,воеводство,1
439,военный,1
440,вожак,2
441,воз,2
442,возбудить,2
443,возбудиться,1
444,возбуждение,1
445,возвести,2
446,возвышать,1
447,возвышаться,1
448,возвышенный,1
449,возгореться,1
450,воздух,1
451,воздушный,2
452,возможный,1
453,возмущение,1
454,вознести,1
455,возня,1
456,вой,2
457,война,1
458,войти,2
459,волна,2
460,волокуша,2
461,волос,2
462,волосатик,1
463,волосистый,1
464,волосок,2
465,волочить,1
466,волчок,2
467,волшебный,1
468,волшебство,1
469,вольность,2
470,вольный,2
471,волюнтаризм,1
472,воля,2
473,вонзиться,1
474,вонючка,1
475,вонять,1
476,вообще,2
477,вооружение,1
478,воплощение,1
479,вопрос,2
480,ворота,2
481,ворох,1
482,ворочать,1
483,ворошить,1
484,ворсинка,1
485,воскресить,1
486,воскреснуть,1
487,восстановитель,1
488,восстановить,1
489,восстать,1
490,восток,1
491,восходить,1
492,восьмерка,2
493,вот,2
494,воткнуть,1
495,впадина,1
496,впасть,1
497,вперед,2
498,впечатать,1
499,впечатление,1
500,вписать,1
501,впиться,2
502,вплотную,2
503,вплыть,1
504,вползти,2
505,вправить,1
506,враг,2
507,вразнос,1
508,врасти,1
509,врать,1
510,вращаться,1
511,врезать,2
512,врезаться,2
513,врезка,1
514,время,2
515,врубиться,1
516,всадить,1
517,все,1
518,вселенная,1
519,вскинуться,1
520,всколыхнуться,1
521,вскочить,2
522,вскрыть,2
523,вскрыться,1
524,всплеснуть,1
525,всплыть,2
526,вспыхнуть,2
527,вставить,1
528,встать,2
529,встретить,2
530,встретиться,1
531,встреча,1
532,встречаться,1
533,встречный,1
534,встряхнуться,1
535,вступить,2
536,всухую,1
537,всякий,1
538,втереться,1
539,вторгнуться,2
540,вторить,1
541,вторичный,2
542,второй,2
543,втянуть,2
544,втянуться,2
545,вуаль,2
546,вулканизатор,1
547,вход,2
548,вцепиться,1
549,вчерашний,1
550,въехать,2
551,вы,2
552,выбить,2
553,выбиться,2
554,выбор,2
555,выборный,1
556,выбрать,2
557,выбраться,1
558,выбросить,2
559,выброситься,1
560,вывалить,1
561,вывезти,1
562,вывернуть,2
563,вывернуться,2
564,вывеска,1
565,вывести,2
566,вывестись,1
567,выветриться,1
568,вывод,1
569,выворотить,1
570,выгнать,2
571,выговор,1
572,выгодный,1
573,выгореть,2
574,выгреб,1
575,выгуляться,1
576,выдавить,2
577,выдать,2
578,выдаться,1
579,выдвинуть,2
580,выдвинуться,1
581,выделить,2
582,выделиться,1
583,выделка,1
584,выделывать,1
585,выдержанный,1
586,выдержать,2
587,выдохнуться,1
588,выдумка,1
589,выдуть,2
590,выезд,2
591,выемка,1
592,выехать,2
593,выжать,2
594,выжечь,2
595,выжимка,1
596,вызвать,1
597,вызнать,1
598,выиграть,2
599,выйти,2
600,выкатить,1
601,выкатиться,2
602,выкинуть,1
603,выкладка,1
604,выклюнуться,1
605,выколотить,1
606,выколоть,1
607,выкопать,1
608,выкраситься,1
609,выкрутасы,1
610,выкуп,1
611,выкурить,1
612,вылазка,1
613,вылезти,2
614,вылизать,1
615,вылить,1
616,вылиться,1
617,выловить,1
618,выложить,2
619,вылупиться,1
620,вымазать,1
621,выметаться,1
622,выморозить,1
623,вымочить,1
624,вымпел,1
625,вымыть,1
626,вынести,2
627,вынос,1
628,выпад,1
629,выпарить,1
630,выпасть,2
631,выпахать,1
632,выпирать,1
633,выписать,2
634,выписка,1
635,выплеснуть,2
636,выплеснуться,2
637,выплыть,2
638,выползти,2
639,выпотрошить,2
640,выправить,2
641,выпуклый,2
642,выпуск,2
643,выпустить,2
644,выпучить,1
645,выработать,2
646,выработаться,2
647,выработка,2
648,выражение,2
649,выразительный,1
650,выразиться,1
651,вырасти,2
652,вырастить,2
653,вырвать,2
654,вырваться,2
655,вырезать,2
656,вырезка,1
657,выровнять,1
658,выровняться,2
659,вырубить,2
660,вырубка,1
661,высадить,1
662,высечь,1
663,высидеть,1
664,выскочить,2
665,высокий,2
666,высоко,2
667,высота,2
668,высотник,1
669,высохнуть,1
670,выставляться,1
671,выстроить,1
672,выстроиться,1
673,выступать,2
674,выступить,2
675,высушить,1
676,высший,1
677,высыпать,1
678,высь,1
679,вытащить,2
680,вытекать,1
681,вытеснить,1
682,вытравить,2
683,вытряхнуть,1
684,вытянуть,2
685,вытянуться,2
686,выудить,1
687,выучить,1
688,выхватить,2
689,выхлестать,1
690,выход,2
691,выходной,1
692,выцедить,1
693,вычислить,1
694,выше,1
695,вышивка,1
696,вышка,1
697,выщелочить,1
698,вьюн,2
699,вязать,2
700,вязаться,1
701,вязка,1
702,вязкий,1
703,вялый,1
704,гадость,2
705,гадюка,1
706,гадючник,1
707,газ,2
708,галерея,2
709,галогены,1
710,галопировать,1
711,галс,1
712,галтель,2
713,гальванический,1
714,гамма,1
715,гангстерский,1
716,гардероб,1
717,гармонизация,1
718,гармонический,1
719,гармония,1
720,гарпия,1
721,гарь,1
722,гасить,2
723,гаснуть,1
724,гвардия,1
725,гвоздить,1
726,гдето,1
727,гелиограф,1
728,генерализация,1
729,генеральный,1
730,генетический,1
731,гениальный,1
732,гений,2
733,гео,1
734,геркулес,1
735,героический,2
736,герой,2
737,гетман,1
738,гибкий,2
739,гигант,2
740,гид,1
741,гидра,1
742,гиена,1
743,гильдия,1
744,гильза,1
745,гимн,1
746,гипноз,1
747,гипс,1
748,гиря,1
749,глава,1
750,главенствовать,1
751,гладить,2
752,глазок,2
753,глиняный,1
754,глобальный,2
755,глотать,2
756,глохнуть,2
757,глубина,2
758,глубинный,2
759,глубокий,2
760,глупость,1
761,глупый,2
762,глухарь,1
763,глухой,2
764,глухота,1
765,глушить,2
766,глядеть,2
767,гнать,2
768,гнездиться,1
769,гнездо,2
770,гнет,1
771,гнилой,2
772,гниль,1
773,гнуть,1
774,гнуться,1
775,говор,1
776,говорить,2
777,год,2
778,голбец,1
779,голландка,1
780,голова,2
781,головка,2
782,головной,1
783,голод,2
784,голодный,1
785,голодовка,1
786,голос,2
787,голубой,1
788,голубок,1
789,голубь,2
790,голый,2
791,гон,1
792,гондола,2
793,гонка,1
794,гонять,2
795,гора,2
796,горб,2
797,горбыль,1
798,гордость,2
799,гордый,2
800,горелый,1
801,горесть,2
802,горечь,1
803,горизонт,2
804,горка,2
805,горло,1
806,горловина,2
807,горный,1
808,горох,1
809,горошек,1
810,горсть,1
811,горький,1
812,горячий,2
813,господин,2
814,господствовать,1
815,господствующий,2
816,гостиная,1
817,гость,1
818,готовить,2
819,готовый,2
820,градус,2
821,гражданин,2
822,гражданский,2
823,грамота,1
824,граница,1
825,грануляция,1
826,грань,1
827,графство,1
828,гребень,2
829,гребец,1
830,гребок,2
831,греть,2
832,гречка,1
833,грешить,2
834,гриб,2
835,грибница,1
836,грибок,2
837,грива,1
838,гривна,1
839,гроза,1
840,грозить,2
841,грозный,1
842,громила,1
843,громкий,1
844,громовой,1
845,грохнуть,1
846,грош,2
847,грошовый,1
848,грубый,2
849,грудь,2
850,груз,1
851,грунт,2
852,грунтовка,1
853,группа,1
854,группировка,2
855,грустный,1
856,груша,1
857,грызть,1
858,гряда,1
859,грязный,2
860,грязь,2
861,грянуть,1
862,губернатор,1
863,губить,1
864,гудеть,2
865,гулевой,1
866,гулять,2
867,гусек,1
868,гусиный,1
869,густой,2
870,гусь,1
871,гуща,2
872,да,2
873,давать,2
874,давить,2
875,давиться,2
876,давление,2
877,давность,1
878,давящий,1
879,далекий,2
880,далеко,1
881,далече,2
882,дальнозоркий,1
883,дальше,1
884,дама,2
885,дань,2
886,дар,2
887,дать,2
888,даться,1
889,два,1
890,двигать,2
891,двигаться,1
892,движение,2
893,движок,1
894,двоить,1
895,двойка,2
896,двойник,1
897,двойной,1
898,двойственный,1
899,двор,1
900,дева,1
901,девиация,1
902,девиз,1
903,девка,2
904,девятка,1
905,дегазатор,1
906,дед,1
907,действие,2
908,действовать,2
909,декоративный,1
910,делать,2
911,делаться,1
912,деление,1
913,деликатный,1
914,делить,2
915,делиться,1
916,деловой,1
917,дельный,1
918,демаркационный,1
919,демократ,1
920,демократичный,1
921,демон,1
922,демонстративный,1
923,демонстрация,2
924,демонстрировать,2
925,денежка,1
926,день,2
927,департамент,1
928,депо,1
929,депонировать,1
930,дергать,2
931,дергаться,1
932,деревенеть,1
933,деревенский,2
934,деревня,1
935,деревянный,1
936,держава,1
937,державный,1
938,держать,2
939,держаться,2
940,деривация,1
941,дернуть,2
942,дернуться,1
943,десятка,2
944,десяток,2
945,дети,2
946,детский,1
947,деться,1
948,дешевка,1
949,дешевый,1
950,джаз,1
951,джунгли,1
952,диалог,2
953,диапазон,1
954,дикарство,1
955,дикарь,2
956,диморфизм,1
957,динамика,1
958,диплом,1
959,дипломат,1
960,дирижировать,2
961,диск,2
962,дисконт,1
963,дискотека,1
964,дистанция,2
965,дитя,2
966,дифирамб,1
967,диффузор,1
968,дичь,1
969,длинный,2
970,для,2
971,дневник,1
972,дневной,2
973,дно,2
974,до,1
975,добраться,1
976,добро,1
977,добыча,1
978,доверительный,1
979,довести,2
980,довольно,1
981,догнать,1
982,додержать,1
983,дождь,1
984,дожить,2
985,дозор,1
986,докатиться,1
987,доклад,1
988,докрутиться,1
989,документ,1
990,документалистика,1
991,долбить,2
992,долгий,1
993,доля,2
994,дом,2
995,домашний,2
996,домик,1
997,домовый,1
998,донный,1
999,доносить,1
1000,допечь,1
1001,дополнение,1
1002,допустить,2
1003,доработаться,1
1004,дорога,2
1005,дорогой,2
1006,дорожка,2
1007,доска,1
1008,досмотреть,1
1009,доставить,1
1010,достаток,1
1011,достаточно,2
1012,достать,2
1013,достаться,1
1014,достигать,1
1015,достичь,2
1016,достоинство,2
1017,достойный,2
1018,доступ,1
1019,доступный,2
1020,дотронуться,1
1021,дотянуть,2
1022,дотянуться,2
1023,доучиться,1
1024,дохнуть,1
1025,драгоценный,1
1026,драить,1
1027,драка,1
1028,дракон,1
1029,драматический,2
1030,драматургия,1
1031,драпироваться,1
1032,драпировка,2
1033,драть,1
1034,драхма,1
1035,древний,1
1036,древность,1
1037,дремучий,1
1038,дробный,2
1039,дробь,1
1040,дрогнуть,1
1041,дрожать,2
1042,дрожь,2
1043,друг,1
1044,другой,2
1045,дружина,2
1046,дружный,2
1047,дрючить,1
1048,дряблый,1
1049,дубина,1
1050,дублер,2
1051,дублировать,2
1052,дубль,2
1053,дубовый,1
1054,дуга,1
1055,дума,2
1056,думать,2
1057,думка,1
1058,дуплекс,1
1059,дура,1
1060,дурак,2
1061,дурить,1
1062,дурман,1
1063,дурной,2
1064,дутый,1
1065,дуть,2
1066,дух,2
1067,душ,1
1068,душа,2
1069,душевный,1
1070,душегубка,1
1071,душить,2
1072,душка,1
1073,душный,2
1074,дыбиться,1
1075,дыбы,1
1076,дым,1
1077,дымить,1
1078,дымиться,1
1079,дымный,1
1080,дыра,2
1081,дырка,1
1082,дыхание,2
1083,дышать,2
1084,дьявол,1
1085,дьявольский,2
1086,дядька,2
1087,едва,1
1088,единица,2
1089,единоверец,1
1090,единорог,1
1091,единственный,1
1092,единство,1
1093,единый,1
1094,едкий,2
1095,ежик,1
1096,ездить,2
1097,елка,1
1098,елочка,1
1099,емкость,1
1100,ересь,1
1101,ерш,1
1102,ершик,1
1103,если,2
1104,естественный,2
1105,есть,2
1106,ехать,1
1107,ехидна,1
1108,еще,2
1109,жаворонок,1
1110,жадно,1
1111,жадный,1
1112,жалеть,1
1113,жало,2
1114,жаловать,1
1115,жаловаться,1
1116,жар,2
1117,жарить,2
1118,жаркий,2
1119,жарко,1
1120,жать,2
1121,жаться,2
1122,жгут,1
1123,жгучий,1
1124,ждать,1
1125,жезл,1
1126,желание,1
1127,желать,1
1128,железный,1
1129,железо,2
1130,жертва,2
1131,жесткий,1
1132,жечь,2
1133,жечься,1
1134,живо,2
1135,живой,2
1136,живописный,1
1137,живость,1
1138,живчик,1
1139,жидкий,2
1140,жизненность,1
1141,жизненный,1
1142,жизнь,2
1143,жилет,1
1144,жилистый,2
1145,жилка,2
1146,жилье,1
1147,жирный,2
1148,жить,2
1149,жнивье,1
1150,жучок,1
1151,за,2
1152,забежать,2
1153,забирать,1
1154,забить,2
1155,забиться,1
1156,забористый,1
1157,забрать,2
1158,забросить,2
1159,забыть,1
1160,забыться,2
1161,завалить,2
1162,завалиться,2
1163,заварить,1
1164,завариться,1
1165,заварка,1
1166,заведение,2
1167,завезти,1
1168,завернуть,2
1169,завернуться,1
1170,завести,2
1171,завестись,2
1172,завиток,1
1173,завиться,1
1174,завод,2
1175,завоевание,1
1176,завязать,2
1177,завязаться,1
1178,завязка,1
1179,загадать,1
1180,загиб,2
1181,заглохнуть,2
1182,заглушить,2
1183,заглянуть,2
1184,загнать,2
1185,загнуть,1
1186,загорать,1
1187,загореться,1
1188,загородить,1
1189,загребать,1
1190,загрузить,1
1191,загрызть,1
1192,загубить,1
1193,зад,2
1194,задавить,1
1195,задание,2
1196,задать,2
1197,задвинуть,2
1198,задержать,2
1199,задержаться,2
1200,задеть,1
1201,задок,1
1202,задрать,2
1203,задувать,2
1204,задуть,1
1205,задушить,2
1206,задыхаться,1
1207,заезд,1
1208,заезженный,1
1209,заесть,2
1210,заехать,2
1211,зажать,2
1212,зажечь,1
1213,зажечься,1
1214,заикаться,1
1215,зайти,2
1216,зайчик,1
1217,заказ,1
1218,закалить,1
1219,закалиться,1
1220,закат,1
1221,закатать,2
1222,закатить,2
1223,закатиться,2
1224,закваска,1
1225,закинуть,2
1226,закинуться,1
1227,заклеить,1
1228,заклепка,1
1229,заклинание,1
1230,заклинить,1
1231,заключаться,1
1232,заключение,2
1233,заключить,2
1234,заковать,2
1235,заколебаться,1
1236,заколотить,1
1237,закольцевать,2
1238,закон,2
1239,законник,1
1240,законный,1
1241,законченный,1
1242,закрепить,2
1243,закрепиться,2
1244,закружить,2
1245,закрутить,1
1246,закрутиться,2
1247,закрутка,2
1248,закрытый,2
1249,закрыть,2
1250,закрыться,2
1251,закурить,2
1252,закусить,1
1253,залежь,2
1254,залезть,1
1255,залететь,2
1256,залечь,2
1257,заливать,1
1258,заливной,1
1259,зализать,1
1260,залить,2
1261,залиться,1
1262,заложить,2
1263,замазать,2
1264,заменить,1
1265,замерзнуть,1
1266,замести,1
1267,заметить,1
1268,заметка,1
1269,заметный,1
1270,замещать,1
1271,замкнутый,1
1272,замкнуться,1
1273,замок,2
1274,заморозить,2
1275,замотать,1
1276,замочить,1
1277,замыкаться,1
1278,занести,2
1279,заниматься,1
1280,занятие,1
1281,занять,2
1282,запарить,2
1283,запариться,1
1284,запарка,1
1285,запас,2
1286,запасть,2
1287,запахнуться,1
1288,запереть,1
1289,запеть,1
1290,запечься,1
1291,запилить,1
1292,записать,2
1293,записка,2
1294,запись,2
1295,заповедный,1
1296,запойный,1
1297,заполонить,1
1298,запороть,1
1299,запорошить,1
1300,заправить,1
1301,заправиться,1
1302,заправка,1
1303,запрограммировать,2
1304,запрос,1
1305,запруда,1
1306,запряжка,2
1307,запустить,1
1308,запутать,2
1309,запутаться,2
1310,запятнать,1
1311,заразить,1
1312,зарасти,2
1313,зарез,1
1314,зарезать,2
1315,зарисовать,1
1316,зародыш,1
1317,зарубить,2
1318,зарулить,1
1319,зарыть,1
1320,зарыться,1
1321,заря,1
1322,заряд,2
1323,зарядить,2
1324,зарядиться,1
1325,засада,2
1326,засадить,2
1327,засветить,1
1328,засесть,2
1329,засечь,2
1330,засиять,1
1331,заскорузлый,1
1332,заскорузнуть,1
1333,заскочить,2
1334,заслон,2
1335,заслонить,1
1336,заслуженный,2
1337,заслышать,1
1338,заснуть,1
1339,засорить,2
1340,засосать,1
1341,засохнуть,1
1342,застава,1
1343,заставить,1
1344,застой,1
1345,застопорить,1
1346,застояться,1
1347,застывший,2
1348,застыть,2
1349,засушить,2
1350,засыпать,2
1351,засыпаться,2
1352,затаскать,1
1353,затащить,1
1354,затвориться,1
1355,затек,1
1356,затем,1
1357,затемнение,1
1358,затемнить,2
1359,затереть,2
1360,затечь,1
1361,затихнуть,1
1362,затишье,2
1363,затмиться,1
1364,затолкать,2
1365,затопить,1
1366,затоптать,1
1367,затравить,1
1368,затравка,1
1369,затрепаться,1
1370,затронуть,2
1371,затуманиться,1
1372,затхлый,1
1373,затяжка,2
1374,затянуть,2
1375,затянуться,2
1376,зафиксировать,2
1377,захват,2
1378,захватить,2
1379,захлебнуться,2
1380,захлебываться,1
1381,захлестнуть,2
1382,заход,1
1383,захоронить,1
1384,зацвести,1
1385,зацеп,1
1386,зацепить,2
1387,зацепиться,1
1388,зацепка,2
1389,зачастить,1
1390,зачаток,1
1391,зачахнуть,1
1392,зачет,1
1393,зачитать,1
1394,зашить,1
1395,заштамповать,1
1396,защипать,1
1397,защипка,1
1398,защита,1
1399,защитить,2
1400,защититься,2
1401,защитник,1
1402,заяц,2
1403,заячий,1
1404,звезда,2
1405,звездный,2
1406,звездочка,2
1407,звено,1
1408,звериный,1
1409,зверобой,1
1410,зверь,1
1411,звонить,2
1412,звонкий,1
1413,звонок,1
1414,звук,1
1415,звучать,2
1416,здесь,1
1417,здоровенный,1
1418,здорово,1
1419,здоровый,1
1420,зев,1
1421,зевать,1
1422,зеленеть,1
1423,зеленка,1
1424,зеленушка,2
1425,зеленый,2
1426,зелень,2
1427,земля,2
1428,земляничка,1
1429,земляной,2
1430,земной,1
1431,зеркало,2
1432,зеркальный,1
1433,зернистый,1
1434,зерно,2
1435,зерцало,1
1436,зефир,1
1437,зимовье,1
1438,зло,1
1439,злой,2
1440,злостный,1
1441,змеевик,1
1442,змей,2
1443,змейка,2
1444,знак,2
1445,знакомство,2
1446,знакомый,1
1447,знание,1
1448,знатный,1
1449,знать,2
1450,значение,1
1451,значительный,2
1452,значить,1
1453,зоб,2
1454,золото,2
1455,золотой,2
1456,золотушный,1
1457,зона,1
1458,зонд,1
1459,зрелище,1
1460,зрелость,1
1461,зрелый,1
1462,зубок,1
1463,зубр,1
1464,и,1
1465,игловатый,1
1466,игра,2
1467,играть,2
1468,игривый,1
1469,игрушечный,2
1470,игрушка,1
1471,идеализм,1
1472,идеалист,1
1473,идеальный,1
1474,идейный,1
1475,идея,2
1476,идиотизм,1
1477,идол,1
1478,идти,2
1479,из,2
1480,изба,1
1481,избаловаться,1
1482,избить,1
1483,извести,1
1484,известись,1
1485,известность,1
1486,известный,2
1487,извлечь,2
1488,изворот,1
1489,изгадить,1
1490,изгрызть,1
1491,изжеванный,1
1492,изжечь,1
1493,изжечься,1
1494,изза,2
1495,излить,1
1496,излиться,2
1497,излом,2
1498,изломанный,1
1499,изломать,2
1500,изломаться,1
1501,измена,1
1502,изменить,2
1503,измеритель,1
1504,измерить,1
1505,изморозь,1
1506,измочалить,1
1507,измятый,1
1508,измять,2
1509,износ,1
1510,изнутри,1
1511,изображать,1
1512,изобразить,2
1513,изогнуться,1
1514,изолированный,1
1515,изолятор,2
1516,изпод,2
1517,изрезать,1
1518,изуродовать,1
1519,изучить,1
1520,изыскание,1
1521,иконография,1
1522,или,2
1523,иллюзионизм,1
1524,иллюзия,1
1525,иллюстрация,1
1526,имам,1
1527,именной,1
1528,иметь,2
1529,имитация,1
1530,имитировать,2
1531,империя,1
1532,импорт,1
1533,импульс,1
1534,имя,1
1535,индекс,2
1536,индивидуальный,2
1537,индикатор,1
1538,индукция,1
1539,инерция,1
1540,инициатива,1
1541,инквизиторский,1
1542,инкорпорация,1
1543,инновация,1
1544,иной,1
1545,инспекция,1
1546,инстинкт,1
1547,институт,2
1548,инструмент,1
1549,инструментовка,1
1550,интеллигентный,1
1551,интервал,1
1552,интервьюировать,2
1553,интермедия,1
1554,интернат,1
1555,интонация,1
1556,интрига,1
1557,информация,1
1558,ирис,1
1559,искатель,1
1560,искать,2
1561,исключительный,2
1562,исключить,1
1563,исковерканный,1
1564,исковеркать,1
1565,ископаемый,1
1566,искра,2
1567,искривление,1
1568,искусство,1
1569,исповедовать,1
1570,исполнить,1
1571,испортить,2
1572,испортиться,2
1573,испорченный,2
1574,исправный,1
1575,испытать,1
1576,иссечь,1
1577,исстрочить,1
1578,истасканный,1
1579,истерический,1
1580,истечь,1
1581,истина,1
1582,истинный,1
1583,истоптать,1
1584,исторгнуть,2
1585,исторический,2
1586,история,2
1587,источник,2
1588,истощение,1
1589,истощенный,1
1590,истощить,1
1591,истощиться,1
1592,исход,2
1593,исходить,2
1594,исчезнуть,2
1595,ишак,1
1596,к,2
1597,кабала,1
1598,кабальный,1
1599,кабан,1
1600,кабинет,2
1601,кабинетный,1
1602,каданс,1
